Provincia,Region,MMR,ANC,PNC,SBA,UAB,Live Births
CABA,CENTRO,15,71.9,100.0,100.0,74.2,40136
BUENOS AIRES,CENTRO,34,68.6,96.2,96.2,66.0,272471
CORDOBA ,CENTRO,28,65.4,99.9,99.9,76.0,56460
LA PAMPA,CENTRO,0,79.6,100.0,100.0,92.9,5222
SANTA FE,CENTRO,16,74.1,99.9,99.9,72.0,55971
LA RIOJA,CUYO,49,62.3,99.9,99.9,85.4,6182
MENDOZA,CUYO,39,73.4,99.9,99.9,84.3,33378
SAN JUAN,CUYO,29,69.9,99.9,99.9,84.9,14017
SAN LUIS,CUYO,67,79.1,99.9,99.9,93.1,7504
CORRIENTES,NORESTE,40,59.1,99.9,99.9,42.2,20033
CHACO,NORESTE,41,69.2,98.5,98.5,82.5,22023
ENTRE RIOS,NORESTE,27,70,99.2,99.2,71.6,22195
FORMOSA,NORESTE,123,65.4,98.9,98.9,9.8,11369
MISIONES,NORESTE,39,54.7,98.9,98.9,61.9,25319
CATAMARCA,NOROESTE,105,64.4,99.3,99.3,72.5,6685
JUJUY,NOROESTE,32,71.7,99.7,99.7,77.7,12380
SALTA,NOROESTE,65,59.1,99.2,99.2,72.1,26273
SANTIAGO DEL ESTERO,NOROESTE,29,58.4,99.9,99.9,70.0,17515
TUCUMAN,NOROESTE,28,62.6,99.9,99.9,87.6,28306
CHUBUT,PATAGONIA,21,75.4,99.8,99.8,69.1,9608
NEUQUEN,PATAGONIA,18,82.8,99.9,99.9,74.0,11238
RIO NEGRO,PATAGONIA,17,84.3,99.4,99.4,81.5,11924
SANTA CRUZ,PATAGONIA,33,63.5,100.0,100.0,76.0,6119
TIERRA DEL FUEGO,PATAGONIA,35,79.9,100.0,100.0,78.9,2829
